label_num,label,prediction,prob_TS,prob_ST,ABS_VAD
0,how come you aingt tell me he coming around more,yeah .,-4.345244884490967,-14.564886093139648,0.0
0,how come you aingt tell me he coming around more,no .,-4.714587211608887,-27.167861938476562,0.0
0,how come you aingt tell me he coming around more,yes .,-5.101194381713867,-15.268598556518555,0.0
0,how come you aingt tell me he coming around more,okay .,-5.611579895019531,-10.60023021697998,0.010316666666666665
0,how come you aingt tell me he coming around more,hey .,-6.032023906707764,-23.798587799072266,0.0
0,how come you aingt tell me he coming around more,come on .,-6.571163654327393,-11.531768798828125,0.010750000000000001
0,how come you aingt tell me he coming around more,i do n't know .,-6.646167755126953,-6.408148765563965,0.041525
0,how come you aingt tell me he coming around more,i 'm sorry .,-6.993805408477783,-28.677183151245117,0.027475000000000006
0,how come you aingt tell me he coming around more,i know .,-7.147909164428711,-49.3280143737793,0.029375000000000005
0,how come you aingt tell me he coming around more,i do n't .,-7.569260120391846,-58.821434020996094,0.027325
0,how come you aingt tell me he coming around more,what are you ?,-8.307514190673828,-14.805965423583984,0.01055
0,how come you aingt tell me he coming around more,i can n't .,-8.4058837890625,-14.946308135986328,0.030125000000000002
0,how come you aingt tell me he coming around more,i 'm not .,-8.647493362426758,-27.291236877441406,0.015175000000000003
0,how come you aingt tell me he coming around more,i can n't know .,-9.082771301269531,-20.17592430114746,0.044325
0,how come you aingt tell me he coming around more,i do n't know it .,-10.064931869506836,-18.975374221801758,0.041525
0,how come you aingt tell me he coming around more,"well , i do n't know .",-10.449692726135254,-67.49049377441406,0.060596212121212134
0,how come you aingt tell me he coming around more,"oh , i do n't know .",-10.651727676391602,-46.93225860595703,0.041525
0,how come you aingt tell me he coming around more,"no , i do n't know .",-10.659310340881348,-7.220868110656738,0.041525
0,how come you aingt tell me he coming around more,"yeah , i do n't know .",-10.783488273620605,-8.826607704162598,0.041525
0,how come you aingt tell me he coming around more,i do n't know that .,-11.075172424316406,-10.006845474243164,0.041525
0,how come you aingt tell me he coming around more,"well , i do n't .",-11.083580017089844,-41.64640808105469,0.04639621212121213
0,how come you aingt tell me he coming around more,"no , i do n't .",-11.134498596191406,-22.76833724975586,0.027325
0,how come you aingt tell me he coming around more,"oh , i do n't .",-11.147908210754395,-18.39129638671875,0.027325
0,how come you aingt tell me he coming around more,"yeah , i do n't .",-11.193427085876465,-23.732656478881836,0.027325
0,how come you aingt tell me he coming around more,i do n't know you .,-11.260448455810547,-44.630706787109375,0.041525
0,how come you aingt tell me he coming around more,"i do n't know , i do n't know .",-14.571706771850586,-13.299820899963379,0.08305000000000001
0,how come you aingt tell me he coming around more,"i do n't know , i do n't .",-14.852335929870605,-21.84543228149414,0.06885000000000001
0,how come you aingt tell me he coming around more,"i do n't know , i 'm not .",-15.77574348449707,-50.76483917236328,0.05670000000000001
0,how come you aingt tell me he coming around more,i do n't know . i 'm not .,-15.97185230255127,-46.919498443603516,0.05670000000000001
0,how come you aingt tell me he coming around more,"i do n't know , i 'm a little .",-17.23406982421875,-12.598888397216797,0.06815000000000002
0,how come you aingt tell me he coming around more,i do n't know . i 'm a little .,-17.42140769958496,-11.942342758178711,0.06815000000000002
0,how come you aingt tell me he coming around more,"i do n't know , i do n't know . i 'm a little .",-25.760194778442383,-33.01430130004883,0.10967500000000001
1,"where you been , dad",yeah .,-4.329455375671387,-5.014322757720947,0.0
1,"where you been , dad",no .,-4.802037715911865,-37.42072677612305,0.0
1,"where you been , dad",yes .,-5.1712493896484375,-14.819128036499023,0.0
1,"where you been , dad",what ?,-5.516965866088867,-16.43522834777832,0.0
1,"where you been , dad",okay .,-5.642391204833984,-33.05276870727539,0.010316666666666665
1,"where you been , dad",come on .,-6.783457279205322,-7.4055562019348145,0.010750000000000001
1,"where you been , dad",i 'm sorry .,-6.986860275268555,-3.9057483673095703,0.027475000000000006
1,"where you been , dad",i do n't know .,-7.015238285064697,-6.355041027069092,0.041525
1,"where you been , dad",i know .,-7.461243152618408,-22.519113540649414,0.029375000000000005
1,"where you been , dad",i do n't .,-8.05451488494873,-27.938671112060547,0.027325
1,"where you been , dad",i can n't .,-8.844598770141602,-63.13287353515625,0.030125000000000002
1,"where you been , dad",i do n't know ?,-9.03194808959961,-25.485675811767578,0.041525
1,"where you been , dad",i can n't know .,-9.470169067382812,-50.920753479003906,0.044325
1,"where you been , dad","yeah , i 'm sorry .",-10.063492774963379,-8.161516189575195,0.027475000000000006
1,"where you been , dad","oh , i 'm sorry .",-10.196799278259277,-19.898738861083984,0.027475000000000006
1,"where you been , dad",i do n't know it .,-10.627224922180176,-27.239774703979492,0.041525
1,"where you been , dad","yeah , i do n't know .",-10.743703842163086,-31.619754791259766,0.041525
1,"where you been , dad","oh , i do n't know .",-10.782752990722656,-50.761634826660156,0.041525
1,"where you been , dad","well , i do n't know .",-10.951140403747559,-16.631912231445312,0.060596212121212134
1,"where you been , dad","no , i do n't know .",-10.956000328063965,-33.207969665527344,0.041525
1,"where you been , dad","yeah , i do n't .",-11.344926834106445,-51.36595153808594,0.027325
1,"where you been , dad",i do n't know you .,-11.385628700256348,-9.025163650512695,0.041525
1,"where you been , dad","oh , i do n't .",-11.457127571105957,-9.590490341186523,0.027325
1,"where you been , dad","i do n't know , i 'm sorry .",-14.071724891662598,-6.8289899826049805,0.06900000000000002
1,"where you been , dad","i do n't know , i do n't know .",-14.648037910461426,-27.6217041015625,0.08305000000000001
1,"where you been , dad","i do n't know , i do n't .",-15.115763664245605,-21.044965744018555,0.06885000000000001
1,"where you been , dad","i do n't know , i 'm gonna .",-16.170907974243164,-55.080116271972656,0.05670000000000001
1,"where you been , dad","i do n't know , i do n't know ?",-16.78119659423828,-21.495763778686523,0.08305000000000001
1,"where you been , dad","i do n't know , i do n't know it .",-18.370113372802734,-7.574879169464111,0.08305000000000001
1,"where you been , dad","i do n't know , i do n't know , i 'm not .",-24.569305419921875,-15.46877384185791,0.09822500000000002
1,"where you been , dad","i do n't know , i do n't know , it 's a little .",-26.23044776916504,-8.812625885009766,0.09450000000000001
1,"where you been , dad","i do n't know , i do n't know , i 'm not to .",-27.402875900268555,-13.493553161621094,0.09822500000000002
2,"tomorrow to settle up , okay",yeah .,-4.016392707824707,-60.29041290283203,0.0
2,"tomorrow to settle up , okay",no .,-4.529517650604248,-8.992850303649902,0.0
2,"tomorrow to settle up , okay",yes .,-4.794676303863525,-49.758758544921875,0.0
2,"tomorrow to settle up , okay",okay .,-5.571435928344727,-38.68260955810547,0.010316666666666665
2,"tomorrow to settle up , okay",hey .,-5.8993425369262695,-29.31844711303711,0.0
2,"tomorrow to settle up , okay",come on .,-6.751742839813232,-26.970516204833984,0.010750000000000001
